id,source,name,description,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,neighborhood,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
33164023,city scrape,Home in Den Haag · ★4.75 · 5 bedrooms · 6 beds · 3.5 baths,,249699635,Familie Verhoeven,2019-03-18,"The Hague, Netherlands",100%,46%,f,1,,Wijk 02 Belgisch Park,52.11507,4.28616,Entire home,Entire home/apt,8,6,$385.00,3,1125,12,4.75
33218772,city scrape,Home in Den Haag · ★4.84 · 1 bedroom · 1 bed · 1.5 baths,,248169354,Agnes,2019-03-11,"The Hague, Netherlands",100%,96%,t,1,,Wijk 11 Duinoord,52.08272,4.28517,Private room in home,Private room,2,1,$65.00,2,15,100,4.84
33340915,city scrape,Guesthouse in Den Haag · ★5.0 · 1 bedroom · 2 beds · 1 private bath,,2799091,Roelof,2012-07-01,"The Hague, Netherlands",100%,100%,t,2,,Wijk 02 Belgisch Park,52.11377,4.28599,Private room in guesthouse,Private room,2,2,$135.00,1,1125,12,5.0
33341125,city scrape,Bed and breakfast in Den Haag · ★4.84 · 1 bedroom · 2 beds · 1 bath,,2799091,Roelof,2012-07-01,"The Hague, Netherlands",100%,100%,t,2,,Wijk 02 Belgisch Park,52.11183,4.28644,Private room in bed and breakfast,Private room,2,2,$116.00,1,1125,45,4.84
33354967,city scrape,Rental unit in Den Haag · ★4.65 · Studio · 1 bed · 1 bath,,9165668,Robert,2013-10-01,"The Hague, Netherlands",96%,81%,f,80,,Wijk 07 Scheveningen,52.11083,4.28429,Entire rental unit,Entire home/apt,2,1,$148.00,3,1049,17,4.65
33397851,city scrape,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,,251603297,Jaieno,2019-03-27,"The Hague, Netherlands",100%,100%,f,1,,Wijk 40 Wateringse Veld,52.041476381571876,4.2855303184027,Private room in rental unit,Private room,1,1,$50.00,2,1125,22,4.65
33420536,city scrape,Rental unit in Den Haag · ★4.79 · 1 bedroom · 1 bed · 1 private bath,,30233643,Helen,2015-03-29,Netherlands,100%,67%,f,2,,Wijk 19 Vruchtenbuurt,52.06619,4.25337,Private room in rental unit,Private room,1,1,$55.00,2,1125,19,4.79
33465566,previous scrape,Villa in Den Haag · 4 bedrooms · 4 beds · 3.5 baths,,21073673,Hermiette,2014-09-08,"The Hague, Netherlands",100%,100%,f,2,,Wijk 04 Benoordenhout,52.09513,4.32074,Entire villa,Entire home/apt,5,4,,5,1125,0,
33500221,previous scrape,Townhouse in Den Haag · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,,227288732,Desi,2018-11-24,"The Hague, Netherlands",N/A,57%,f,1,,Wijk 07 Scheveningen,52.0926,4.26572,Entire townhouse,Entire home/apt,3,2,,2,1125,5,5.0
33541560,city scrape,Rental unit in Den Haag · ★5.0 · 3 bedrooms · 3 beds · 1 bath,,103454416,Barbara,2016-11-12,"The Hague, Netherlands",100%,36%,f,1,,Wijk 09 Geuzen- en Statenkwartier,52.09684,4.2827,Entire rental unit,Entire home/apt,4,3,$179.00,3,1125,22,5.0
33732404,city scrape,Home in Den Haag · ★4.67 · 4 bedrooms · 4 beds · 2.5 baths,,10538644,Femke,2013-12-10,Netherlands,100%,73%,f,2,,Wijk 03 Westbroekpark en Duttendel,52.10659,4.30491,Entire home,Entire home/apt,6,4,$299.00,3,31,12,4.67
33844291,city scrape,Townhouse in Den Haag · 3 bedrooms · 3 beds · 1 bath,,226148199,W,2018-11-17,"The Hague, Netherlands",N/A,17%,f,2,,Wijk 04 Benoordenhout,52.08872,4.31541,Entire townhouse,Entire home/apt,6,3,$191.00,6,1125,2,4.5
33876755,city scrape,Rental unit in Den Haag · ★4.94 · Studio · 1 bed · 1 bath,,2583181,Maaike & Michiel,2012-06-08,"The Hague, Netherlands",100%,100%,t,1,,Wijk 21 Regentessekwartier,52.08073,4.28782,Entire rental unit,Entire home/apt,2,1,$115.00,2,1125,276,4.94
33954755,previous scrape,Home in Den Haag · ★4.78 · 4 bedrooms · 4 beds · 1 bath,,13814611,Titia,2014-04-02,"The Hague, Netherlands",N/A,100%,f,2,,Wijk 07 Scheveningen,52.10792,4.27696,Entire home,Entire home/apt,5,4,,5,30,9,4.78
34039334,city scrape,Townhouse in Den Haag · ★4.83 · 1 bedroom · 1 bed · 1 private bath,,15819951,Arian,2014-05-21,"The Hague, Netherlands",100%,93%,f,3,,Wijk 12 Bomen- en Bloemenbuurt,52.07844,4.27332,Private room in townhouse,Private room,2,1,$70.00,2,7,48,4.83
34050236,city scrape,Home in The Hague · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath,,11897813,Christina,2014-02-03,"The Hague, Netherlands",60%,67%,t,6,,Wijk 26 Bezuidenhout,52.08631,4.33542,Private room in home,Private room,2,1,$99.00,5,30,12,4.92
34134192,city scrape,Serviced apartment in The Hague · ★4.0 · 1 bedroom · 2 beds · 1 bath,,248427955,Central Station Serviced Apartments,2019-03-12,,93%,100%,f,5,,Wijk 27 Stationsbuurt,52.07896,4.32341,Room in serviced apartment,Hotel room,4,2,$130.00,1,1125,3,4.0
34134774,city scrape,Serviced apartment in The Hague · ★4.70 · 1 bedroom · 2 beds · 1 bath,,248427955,Central Station Serviced Apartments,2019-03-12,,93%,100%,f,5,,Wijk 28 Centrum,52.07745,4.3228,Room in serviced apartment,Hotel room,4,2,$130.00,1,1125,54,4.7
34134852,city scrape,Serviced apartment in The Hague · ★4.57 · 1 bedroom · 2 beds · 1 bath,,248427955,Central Station Serviced Apartments,2019-03-12,,93%,100%,f,5,,Wijk 28 Centrum,52.0775,4.32134,Room in serviced apartment,Hotel room,4,2,$120.00,1,1125,82,4.57
34206701,city scrape,Rental unit in Den Haag · ★4.90 · 1 bedroom · 2 beds · 1 bath,,34896287,Maurits,2015-06-03,"The Hague, Netherlands",100%,100%,f,2,,Wijk 21 Regentessekwartier,52.0778,4.2846,Entire rental unit,Entire home/apt,4,2,$90.00,2,1125,102,4.9
